transaction_id,date,produit,quantite,prix_unitaire,client_id,ville,region,canal_vente,mode_paiement,statut,montant_total
TXN000016,2023-01-02 06:00:00,Haricot,12,609,CLI0319,Kpalimé,Plateaux,Grossiste,Espèces,Livrée,7308
TXN000017,2023-01-02 08:00:00,Haricot,12,1911,CLI0225,Cinkassé,Savanes,Marché local,Mobile Money,Livrée,22932
TXN000018,2023-01-02 10:00:00,Haricot,63,2360,CLI0423,Lomé,Maritime,Coopérative,Crédit,Livrée,148680
TXN000019,2023-01-02 12:00:00,Soja,16,1039,CLI0191,Kpalimé,Plateaux,Export,Virement,En cours,16624
TXN000020,2023-01-02 14:00:00,Haricot,25,388,CLI0079,Bassar,Centrale,Marché local,Crédit,Livrée,9700
TXN000021,2023-01-02 16:00:00,Sorgho,22,476,CLI0365,Kara,Kara,Vente directe,Crédit,En cours,10472
TXN000022,2023-01-02 18:00:00,Riz,91,1960,CLI0022,Tchamba,Centrale,Vente directe,Chèque,Livrée,178360
TXN000023,2023-01-02 20:00:00,Sorgho,88,2350,CLI0330,Dapaong,Savanes,Coopérative,Espèces,Livrée,206800
TXN000024,2023-01-02 22:00:00,Igname,76,2354,CLI0156,Sokodé,Centrale,Coopérative,Virement,Retardée,178904
TXN000025,2023-01-03 00:00:00,Arachide,18,2139,CLI0056,Atakpamé,Plateaux,Coopérative,Chèque,Retardée,38502
TXN000026,2023-01-03 02:00:00,Riz,45,2177,CLI0248,Dapaong,Savanes,Vente directe,Espèces,Livrée,97965
TXN000027,2023-01-03 04:00:00,Soja,80,2420,CLI0261,Sokodé,Centrale,Vente directe,Virement,Livrée,193600
TXN000028,2023-01-03 06:00:00,Sorgho,68,1198,CLI0435,Tchamba,Centrale,Export,Chèque,Livrée,81464
TXN000029,2023-01-03 08:00:00,Manioc,12,921,CLI0478,Bassar,Centrale,Coopérative,Mobile Money,Livrée,11052
TXN000030,2023-01-03 10:00:00,Riz,49,1414,CLI0381,Lomé,Maritime,Grossiste,Crédit,Livrée,69286
TXN000031,2023-01-03 12:00:00,Soja,33,1893,CLI0103,Sokodé,Centrale,Export,Mobile Money,En cours,62469
TXN000032,2023-01-03 14:00:00,Maïs,86,2472,CLI0029,Sokodé,Centrale,Grossiste,Virement,En cours,212592
TXN000033,2023-01-03 16:00:00,Riz,63,1907,CLI0483,Niamtougou,Kara,Marché local,Chèque,Livrée,120141
TXN000034,2023-01-03 18:00:00,Riz,18,2381,CLI0057,Tchamba,Centrale,Coopérative,Chèque,Livrée,42858
TXN000035,2023-01-03 20:00:00,Arachide,54,1260,CLI0062,Tône,Savanes,Export,Chèque,Livrée,68040
TXN000036,2023-01-03 22:00:00,Manioc,97,2340,CLI0048,Tchamba,Centrale,Export,Crédit,Annulée,226980
TXN000037,2023-01-04 00:00:00,Arachide,27,2322,CLI0367,Cinkassé,Savanes,Marché local,Chèque,Annulée,62694
TXN000038,2023-01-04 02:00:00,Haricot,83,2430,CLI0327,Cinkassé,Savanes,Marché local,Espèces,En cours,201690
TXN000039,2023-01-04 04:00:00,Riz,78,916,CLI0266,Bassar,Centrale,Marché local,Espèces,Livrée,71448
TXN000040,2023-01-04 06:00:00,Igname,25,658,CLI0176,Tchamba,Centrale,Export,Espèces,Livrée,16450
TXN000041,2023-01-04 08:00:00,Riz,34,1901,CLI0044,Lomé,Maritime,Vente directe,Mobile Money,Livrée,64634
TXN000042,2023-01-04 10:00:00,Haricot,88,826,CLI0219,Sokodé,Centrale,Grossiste,Virement,Livrée,72688
TXN000043,2023-01-04 12:00:00,Manioc,60,406,CLI0126,Kara,Kara,Grossiste,Mobile Money,Livrée,24360
TXN000044,2023-01-04 14:00:00,Manioc,54,1556,CLI0379,Kara,Kara,Marché local,Mobile Money,En cours,84024
TXN000045,2023-01-04 16:00:00,Igname,87,872,CLI0319,Dapaong,Savanes,Vente directe,Crédit,Livrée,75864
TXN000046,2023-01-04 18:00:00,Igname,5,2177,CLI0305,Niamtougou,Kara,Vente directe,Mobile Money,Annulée,10885
TXN000047,2023-01-04 20:00:00,Sorgho,36,2139,CLI0200,Cinkassé,Savanes,Marché local,Crédit,Livrée,77004
TXN000048,2023-01-04 22:00:00,Soja,54,472,CLI0085,Aného,Maritime,Coopérative,Espèces,Livrée,25488
TXN000049,2023-01-05 00:00:00,Soja,88,1249,CLI0041,Cinkassé,Savanes,Export,Espèces,Livrée,109912
TXN000050,2023-01-05 02:00:00,Sorgho,36,2077,CLI0363,Tchamba,Centrale,Coopérative,Mobile Money,Livrée,74772
TXN000051,2023-01-05 04:00:00,Soja,69,290,CLI0269,Dapaong,Savanes,Vente directe,Mobile Money,En cours,20010
TXN000052,2023-01-05 06:00:00,Riz,39,675,CLI0362,Aného,Maritime,Marché local,Espèces,Livrée,26325
TXN000053,2023-01-05 08:00:00,Sorgho,70,2246,CLI0367,Bassar,Centrale,Export,Chèque,Livrée,157220
TXN000054,2023-01-05 10:00:00,Sorgho,4,925,CLI0181,Kara,Kara,Grossiste,Espèces,En cours,3700
TXN000055,2023-01-05 12:00:00,Soja,74,1411,CLI0231,Dapaong,Savanes,Vente directe,Chèque,Livrée,104414
TXN000056,2023-01-05 14:00:00,Maïs,65,733,CLI0070,Niamtougou,Kara,Export,Espèces,Livrée,47645
TXN000057,2023-01-05 16:00:00,Igname,85,284,CLI0489,Tône,Savanes,Export,Virement,Livrée,24140
TXN000058,2023-01-05 18:00:00,Soja,40,1040,CLI0234,Kpalimé,Plateaux,Coopérative,Crédit,Livrée,41600
TXN000059,2023-01-05 20:00:00,Arachide,37,276,CLI0429,Tône,Savanes,Grossiste,Crédit,Livrée,10212
TXN000060,2023-01-05 22:00:00,Maïs,67,1400,CLI0294,Cinkassé,Savanes,Coopérative,Virement,Livrée,93800
TXN000061,2023-01-06 00:00:00,Sorgho,31,2190,CLI0348,Dapaong,Savanes,Coopérative,Chèque,Retardée,67890
TXN000062,2023-01-06 02:00:00,Maïs,91,2421,CLI0099,Bassar,Centrale,Coopérative,Mobile Money,Livrée,220311
TXN000063,2023-01-06 04:00:00,Riz,81,605,CLI0361,Kara,Kara,Coopérative,Mobile Money,Livrée,49005
TXN000064,2023-01-06 06:00:00,Manioc,87,2329,CLI0358,Dapaong,Savanes,Vente directe,Crédit,Livrée,202623
TXN000065,2023-01-06 08:00:00,Maïs,77,220,CLI0130,Atakpamé,Plateaux,Grossiste,Mobile Money,En cours,16940
TXN000066,2023-01-06 10:00:00,Arachide,47,597,CLI0317_DUP,Tchamba,Centrale,Coopérative,Chèque,En cours,28059
TXN000067,2023-01-06 12:00:00,Manioc,27,2472,CLI0383,Bassar,Centrale,Vente directe,Mobile Money,Livrée,66744
TXN000068,2023-01-06 14:00:00,Riz,51,2000,CLI0064,Tchamba,Centrale,Vente directe,Espèces,En cours,102000
TXN000069,2023-01-06 16:00:00,Arachide,20,2008,CLI0396,Tchamba,Centrale,Export,Virement,Livrée,40160
TXN000070,2023-01-06 18:00:00,Haricot,13,1093,CLI0181,Kara,Kara,Export,Crédit,En cours,14209
TXN000071,2023-01-06 20:00:00,Manioc,63,2144,CLI0189,Cinkassé,Savanes,Marché local,Mobile Money,Annulée,135072
TXN000072,2023-01-06 22:00:00,Haricot,44,637,CLI0183,Cinkassé,Savanes,Vente directe,Chèque,Livrée,28028
TXN000073,2023-01-07 00:00:00,Riz,24,1495,CLI0492,Kpalimé,Plateaux,Marché local,Mobile Money,Livrée,35880
TXN000074,2023-01-07 02:00:00,Manioc,3,1503,CLI0170,Lomé,Maritime,Vente directe,Virement,En cours,4509
TXN000075,2023-01-07 04:00:00,Manioc,10,422,CLI0322,Sokodé,Centrale,Coopérative,Espèces,Retardée,4220
TXN000076,2023-01-07 06:00:00,Soja,65,1810,CLI0172,Tône,Savanes,Coopérative,Crédit,Livrée,117650
TXN000077,2023-01-07 08:00:00,Arachide,49,2160,CLI0284,Kara,Kara,Marché local,Crédit,En cours,105840
TXN000078,2023-01-07 10:00:00,Igname,58,708,CLI0366,Tchamba,Centrale,Coopérative,Chèque,En cours,41064
TXN000079,2023-01-07 12:00:00,Arachide,77,1265,CLI0111,Dapaong,Savanes,Coopérative,Espèces,En cours,97405
TXN000080,2023-01-07 14:00:00,Maïs,78,1399,CLI0078,Cinkassé,Savanes,Export,Mobile Money,Annulée,109122
TXN000081,2023-01-07 16:00:00,Haricot,97,1468,CLI0253,Niamtougou,Kara,Coopérative,Mobile Money,Livrée,142396
TXN000082,2023-01-07 18:00:00,Haricot,2,1476,CLI0236,Niamtougou,Kara,Export,Chèque,Annulée,2952
TXN000083,2023-01-07 20:00:00,Arachide,66,1497,CLI0093,Dapaong,Savanes,Grossiste,Espèces,Livrée,98802
TXN000084,2023-01-07 22:00:00,Arachide,31,803,CLI0034,Tône,Savanes,Vente directe,Chèque,Livrée,24893
TXN000085,2023-01-08 00:00:00,Manioc,68,1234,CLI0481,Tône,Savanes,Export,Virement,Livrée,83912
TXN000086,2023-01-08 02:00:00,Haricot,98,2399,CLI0404,Niamtougou,Kara,Export,Virement,En cours,235102
TXN000087,2023-01-08 04:00:00,Sorgho,83,388,CLI0222,Dapaong,Savanes,Export,Mobile Money,Livrée,32204
TXN000088,2023-01-08 06:00:00,Igname,37,875,CLI0490,Cinkassé,Savanes,Vente directe,Virement,Livrée,32375
TXN000089,2023-01-08 08:00:00,Soja,73,837,CLI0340,Atakpamé,Plateaux,Vente directe,Chèque,En cours,61101
TXN000090,2023-01-08 10:00:00,Igname,24,2458,CLI0407_DUP,Cinkassé,Savanes,Vente directe,Crédit,Livrée,58992
TXN000091,2023-01-08 12:00:00,Maïs,77,2196,CLI0252,Niamtougou,Kara,Coopérative,Virement,En cours,169092
TXN000092,2023-01-08 14:00:00,Igname,44,2044,CLI0364,Tône,Savanes,Export,Chèque,En cours,89936
TXN000093,2023-01-08 16:00:00,Soja,94,246,CLI0142,Dapaong,Savanes,Vente directe,Crédit,Annulée,23124
TXN000094,2023-01-08 18:00:00,Maïs,83,1019,CLI0311,Tône,Savanes,Grossiste,Crédit,En cours,84577
TXN000095,2023-01-08 20:00:00,Riz,41,1280,CLI0385,Niamtougou,Kara,Vente directe,Virement,Livrée,52480
TXN000096,2023-01-08 22:00:00,Manioc,74,1477,CLI0312,Kpalimé,Plateaux,Marché local,Espèces,Livrée,109298
TXN000097,2023-01-09 00:00:00,Arachide,51,2417,CLI0279,Kpalimé,Plateaux,Marché local,Virement,Livrée,123267
TXN000098,2023-01-09 02:00:00,Arachide,42,1369,CLI0346,Tchamba,Centrale,Export,Virement,Livrée,57498
TXN000099,2023-01-09 04:00:00,Sorgho,78,1256,CLI0387,Niamtougou,Kara,Export,Espèces,En cours,97968
TXN000100,2023-01-09 06:00:00,Igname,40,1738,CLI0302,Tône,Savanes,Export,Virement,Livrée,69520
TXN000101,2023-01-09 08:00:00,Haricot,-6,995,CLI0378_DUP,Tône,Savanes,Coopérative,Chèque,En cours,47760
TXN000102,2023-01-09 10:00:00,Haricot,-5,247,CLI0247,Kpalimé,Plateaux,Marché local,Espèces,Livrée,20748
TXN000103,2023-01-09 12:00:00,Soja,-1,1621,CLI0488,Dapaong,Savanes,Marché local,Chèque,Annulée,6484
TXN000104,2023-01-09 14:00:00,Soja,-1,1418,CLI0239,Dapaong,Savanes,Export,Crédit,Livrée,85080
TXN000105,2023-01-09 16:00:00,Soja,-5,1960,CLI0349,Tône,Savanes,Marché local,Espèces,En cours,76440
TXN000106,2023-01-09 18:00:00,Haricot,-5,924,CLI0352,Dapaong,Savanes,Marché local,Crédit,Livrée,4620
TXN000107,2023-01-09 20:00:00,Arachide,96,1544,CLI0154,Cinkassé,Savanes,Coopérative,Mobile Money,Livrée,148224
TXN000108,2023-01-09 22:00:00,Haricot,6,2017,CLI0451_DUP,Kara,Kara,Grossiste,Mobile Money,Livrée,12102
TXN000109,2023-01-10 00:00:00,Soja,14,337,CLI0186,Tchamba,Centrale,Export,Chèque,Livrée,4718
TXN000110,2023-01-10 02:00:00,Manioc,70,554,CLI0425,Kpalimé,Plateaux,Grossiste,Crédit,Annulée,38780
TXN000111,2023-01-10 04:00:00,Maïs,78,2068,CLI0062,Atakpamé,Plateaux,Grossiste,Crédit,En cours,161304
TXN000112,2023-01-10 06:00:00,Arachide,12,1293,CLI0401,Sokodé,Centrale,Coopérative,Espèces,Livrée,15516
TXN000113,2023-01-10 08:00:00,Manioc,62,1010,CLI0059,Tône,Savanes,Marché local,Mobile Money,Annulée,62620
TXN000114,2023-01-10 10:00:00,Riz,27,1805,CLI0142,Sokodé,Centrale,Export,Chèque,En cours,48735
TXN000115,2023-01-10 12:00:00,Igname,54,1943,CLI0466,Kara,Kara,Vente directe,Chèque,Livrée,104922
TXN000116,2023-01-10 14:00:00,Manioc,90,258,CLI0149,Tône,Savanes,Grossiste,Espèces,Livrée,23220
TXN000117,2023-01-10 16:00:00,Igname,12,970,CLI0447,Kara,Kara,Grossiste,Espèces,Livrée,11640
TXN000118,2023-01-10 18:00:00,Manioc,8,588,CLI0174,Tchamba,Centrale,Coopérative,Chèque,Livrée,4704
TXN000119,2023-01-10 20:00:00,Riz,74,538,CLI0311,Kara,Kara,Grossiste,Espèces,En cours,39812
TXN000120,2023-01-10 22:00:00,Manioc,16,956,CLI0062,Tchamba,Centrale,Grossiste,Crédit,Livrée,15296
TXN000121,2023-01-11 00:00:00,Maïs,52,795,CLI0167,Tône,Savanes,Grossiste,Chèque,Annulée,41340
TXN000122,2023-01-11 02:00:00,Arachide,26,635,CLI0103,Lomé,Maritime,Coopérative,Virement,Livrée,16510
TXN000123,2023-01-11 04:00:00,Igname,8,1673,CLI0028,Atakpamé,Plateaux,Marché local,Mobile Money,En cours,13384
TXN000124,2023-01-11 06:00:00,Sorgho,45,576,CLI0125_DUP,Cinkassé,Savanes,Grossiste,Mobile Money,Livrée,25920
TXN000125,2023-01-11 08:00:00,Haricot,93,2182,CLI0134,Kpalimé,Plateaux,Export,Virement,Livrée,202926
TXN000126,2023-01-11 10:00:00,Riz,84,313,CLI0059,Bassar,Centrale,Grossiste,Virement,Annulée,26292
TXN000127,2023-01-11 12:00:00,Igname,81,973,CLI0090,Kpalimé,Plateaux,Grossiste,Crédit,Livrée,78813
TXN000128,2023-01-11 14:00:00,Arachide,19,2126,CLI0070,Atakpamé,Plateaux,Export,Chèque,Livrée,40394
TXN000129,2023-01-11 16:00:00,Soja,17,2419,CLI0185,Tchamba,Centrale,Coopérative,Espèces,Livrée,41123
TXN000130,2023-01-11 18:00:00,Igname,65,217,CLI0438,Dapaong,Savanes,Vente directe,Mobile Money,Livrée,14105
TXN000131,2023-01-11 20:00:00,Maïs,29,434,CLI0474,Tône,Savanes,Export,Virement,En cours,12586
TXN000132,2023-01-11 22:00:00,Sorgho,14,1533,CLI0168,Bassar,Centrale,Vente directe,Chèque,Livrée,21462
TXN000133,2023-01-12 00:00:00,Maïs,17,1892,CLI0124,Kara,Kara,Marché local,Espèces,Annulée,32164
TXN000134,2023-01-12 02:00:00,Igname,13,480,CLI0213,Tône,Savanes,Marché local,Mobile Money,Livrée,6240
TXN000135,2023-01-12 04:00:00,Maïs,93,1030,CLI0182,Cinkassé,Savanes,Grossiste,Chèque,Livrée,95790
TXN000136,2023-01-12 06:00:00,Soja,98,1338,CLI0071,Kpalimé,Plateaux,Grossiste,Mobile Money,Livrée,131124
TXN000137,2023-01-12 08:00:00,Sorgho,91,1895,CLI0195,Aného,Maritime,Coopérative,Crédit,En cours,172445
TXN000138,2023-01-12 10:00:00,Haricot,63,1890,CLI0292,Bassar,Centrale,Vente directe,Mobile Money,En cours,119070
TXN000139,2023-01-12 12:00:00,Maïs,33,1786,CLI0057,Cinkassé,Savanes,Marché local,Crédit,Livrée,58938
TXN000140,2023-01-12 14:00:00,Soja,29,617,CLI0300,Tône,Savanes,Marché local,Crédit,Livrée,17893
TXN000141,2023-01-12 16:00:00,Riz,37,784,CLI0318,Dapaong,Savanes,Grossiste,Crédit,Livrée,29008
TXN000142,2023-01-12 18:00:00,Soja,83,1551,CLI0371,Lomé,Maritime,Grossiste,Espèces,Livrée,128733
TXN000143,2023-01-12 20:00:00,Manioc,46,1564,CLI0083,Cinkassé,Savanes,Coopérative,Espèces,Livrée,71944
TXN000144,2023-01-12 22:00:00,Igname,24,2468,CLI0094,Kara,Kara,Grossiste,Crédit,Annulée,59232
TXN000145,2023-01-13 00:00:00,Arachide,14,2256,CLI0267,Tône,Savanes,Grossiste,Chèque,Livrée,31584
TXN000146,2023-01-13 02:00:00,Igname,5,2132,CLI0376,Kara,Kara,Coopérative,Crédit,Livrée,10660
TXN000147,2023-01-13 04:00:00,Igname,53,1031,CLI0161,Niamtougou,Kara,Grossiste,Chèque,Livrée,54643
TXN000148,2023-01-13 06:00:00,Soja,88,733,CLI0074_DUP,Atakpamé,Plateaux,Grossiste,Mobile Money,Livrée,64504
TXN000149,2023-01-13 08:00:00,Soja,98,1322,CLI0377,Tône,Savanes,Grossiste,Espèces,En cours,129556
TXN000150,2023-01-13 10:00:00,Soja,95,1905,CLI0112,Dapaong,Savanes,Vente directe,Chèque,Livrée,180975
TXN000151,2023-01-13 12:00:00,Igname,30,1605,CLI0279,Cinkassé,Savanes,Marché local,Chèque,Livrée,48150
TXN000152,2023-01-13 14:00:00,Haricot,60,2086,CLI0433,Lomé,Maritime,Export,Chèque,Livrée,125160
TXN000153,2023-01-13 16:00:00,Maïs,73,646,CLI0242,Kpalimé,Plateaux,Marché local,Virement,En cours,47158
TXN000154,2023-01-13 18:00:00,Haricot,91,824,CLI0222,Kara,Kara,Vente directe,Espèces,Annulée,74984
TXN000155,2023-01-13 20:00:00,Sorgho,28,2063,CLI0286,Kara,Kara,Export,Virement,Livrée,57764
TXN000156,2023-01-13 22:00:00,Soja,26,2395,CLI0004,Niamtougou,Kara,Marché local,Mobile Money,En cours,62270
TXN000157,2023-01-14 00:00:00,Soja,18,931,CLI0320,Cinkassé,Savanes,Coopérative,Chèque,Livrée,16758
TXN000158,2023-01-14 02:00:00,Manioc,36,1137,CLI0321,Lomé,Maritime,Vente directe,Espèces,Livrée,40932
TXN000159,2023-01-14 04:00:00,Manioc,8,2280,CLI0008,Tchamba,Centrale,Coopérative,Espèces,Livrée,18240
TXN000160,2023-01-14 06:00:00,Riz,18,1955,CLI0052,Tchamba,Centrale,Coopérative,Espèces,En cours,35190
TXN000161,2023-01-14 08:00:00,Riz,84,1724,CLI0142,Bassar,Centrale,Marché local,Chèque,En cours,144816
TXN000162,2023-01-14 10:00:00,Manioc,58,1920,CLI0280,Dapaong,Savanes,Export,Crédit,Livrée,111360
TXN000163,2023-01-14 12:00:00,Sorgho,32,1416,CLI0088,Cinkassé,Savanes,Grossiste,Crédit,Livrée,45312
TXN000164,2023-01-14 14:00:00,Riz,93,1403,CLI0160,Niamtougou,Kara,Grossiste,Crédit,Livrée,130479
TXN000165,2023-01-14 16:00:00,Arachide,49,2090,CLI0028,Dapaong,Savanes,Vente directe,Virement,En cours,102410
TXN000166,2023-01-14 18:00:00,Arachide,48,1741,CLI0272,Kara,Kara,Coopérative,Chèque,En cours,83568
TXN000167,2023-01-14 20:00:00,Sorgho,82,590,CLI0100,Tône,Savanes,Vente directe,Mobile Money,En cours,48380
TXN000168,2023-01-14 22:00:00,Manioc,71,298,CLI0204,Tchamba,Centrale,Marché local,Virement,Livrée,21158
TXN000169,2023-01-15 00:00:00,Riz,65,2395,CLI0190,Tône,Savanes,Coopérative,Espèces,Livrée,155675
TXN000170,2023-01-15 02:00:00,Soja,92,769,CLI0294,Sokodé,Centrale,Grossiste,Crédit,Livrée,70748
TXN000171,2023-01-15 04:00:00,Manioc,33,926,CLI0344,Niamtougou,Kara,Marché local,Espèces,Livrée,30558
TXN000172,2023-01-15 06:00:00,Riz,50,1201,CLI0053,Tône,Savanes,Marché local,Virement,Livrée,60050
TXN000173,2023-01-15 08:00:00,Sorgho,4,1770,CLI0047,Kara,Kara,Vente directe,Crédit,Livrée,7080
TXN000174,2023-01-15 10:00:00,Arachide,84,502,CLI0422,Bassar,Centrale,Vente directe,Chèque,En cours,42168
TXN000175,2023-01-15 12:00:00,Igname,36,2251,CLI0465,Niamtougou,Kara,Export,Crédit,Livrée,81036
TXN000176,2023-01-15 14:00:00,Sorgho,95,2354,CLI0429,Lomé,Maritime,Grossiste,Crédit,En cours,223630
TXN000177,2023-01-15 16:00:00,Igname,28,2322,CLI0397,Niamtougou,Kara,Grossiste,Crédit,En cours,65016
TXN000178,2023-01-15 18:00:00,Riz,3,1263,CLI0194,Tône,Savanes,Vente directe,Virement,En cours,3789
TXN000179,2023-01-15 20:00:00,Sorgho,6,838,CLI0066,Dapaong,Savanes,Grossiste,Crédit,Livrée,5028
TXN000180,2023-01-15 22:00:00,Riz,45,1342,CLI0476,Tône,Savanes,Grossiste,Virement,Livrée,60390
TXN000181,2023-01-16 00:00:00,Riz,23,2320,CLI0026,Kara,Kara,Marché local,Espèces,Livrée,53360
TXN000182,2023-01-16 02:00:00,Igname,7,751,CLI0099,Dapaong,Savanes,Coopérative,Chèque,Livrée,5257
TXN000183,2023-01-16 04:00:00,Sorgho,61,1176,CLI0476,Bassar,Centrale,Coopérative,Crédit,Livrée,71736
TXN000184,2023-01-16 06:00:00,Maïs,65,295,CLI0082,Kara,Kara,Export,Virement,Annulée,19175
TXN000185,2023-01-16 08:00:00,Soja,6,1391,CLI0398,Sokodé,Centrale,Coopérative,Crédit,Livrée,8346
TXN000186,2023-01-16 10:00:00,Manioc,24,245,CLI0393,Atakpamé,Plateaux,Grossiste,Crédit,Livrée,5880
TXN000187,2023-01-16 12:00:00,Arachide,37,545,CLI0044,Cinkassé,Savanes,Marché local,Crédit,Retardée,20165
TXN000188,2023-01-16 14:00:00,Soja,45,1046,CLI0478,Dapaong,Savanes,Coopérative,Mobile Money,Livrée,47070
TXN000189,2023-01-16 16:00:00,Manioc,51,1276,CLI0091,Niamtougou,Kara,Grossiste,Chèque,Annulée,65076
TXN000190,2023-01-16 18:00:00,Manioc,88,1371,CLI0329,Bassar,Centrale,Grossiste,Chèque,Livrée,120648
TXN000191,2023-01-16 20:00:00,Arachide,45,1756,CLI0414,Niamtougou,Kara,Vente directe,Virement,Livrée,79020
TXN000192,2023-01-16 22:00:00,Soja,63,432,CLI0110,Tchamba,Centrale,Vente directe,Espèces,En cours,27216
TXN000193,2023-01-17 00:00:00,Arachide,29,250,CLI0219,Tône,Savanes,Coopérative,Espèces,Livrée,7250
TXN000194,2023-01-17 02:00:00,Riz,96,864,CLI0463,Atakpamé,Plateaux,Vente directe,Espèces,Annulée,82944
TXN000195,2023-01-17 04:00:00,Arachide,25,650,CLI0372_DUP,Atakpamé,Plateaux,Grossiste,Crédit,Livrée,16250
TXN000196,2023-01-17 06:00:00,Igname,10,1562,CLI0257,Niamtougou,Kara,Grossiste,Virement,Livrée,15620
TXN000197,2023-01-17 08:00:00,Igname,35,550,CLI0193,Tône,Savanes,Vente directe,Crédit,Retardée,19250
TXN000198,2023-01-17 10:00:00,Sorgho,55,1508,CLI0070,Kara,Kara,Marché local,Mobile Money,En cours,82940
TXN000199,2023-01-17 12:00:00,Maïs,25,782,CLI0459,Sokodé,Centrale,Vente directe,Virement,Livrée,19550
TXN000200,2023-01-17 14:00:00,Maïs,91,444,CLI0382,Dapaong,Savanes,Marché local,Virement,Livrée,40404
TXN000201,2023-01-17 16:00:00,Maïs,45,29855,CLI0494,Lomé,Maritime,Vente directe,Virement,Livrée,33705
TXN000202,2023-01-17 18:00:00,Soja,96,18905,CLI0097,Cinkassé,Savanes,Grossiste,Mobile Money,Livrée,88992
TXN000203,2023-01-17 20:00:00,Igname,12,24078,CLI0224,Aného,Maritime,Grossiste,Virement,Annulée,10056
TXN000204,2023-01-17 22:00:00,Soja,4,783,CLI0281,Tchamba,Centrale,Vente directe,Mobile Money,Annulée,3132
TXN000205,2023-01-18 00:00:00,Riz,90,2473,CLI0333,Cinkassé,Savanes,Export,Espèces,En cours,222570
TXN000206,2023-01-18 02:00:00,Haricot,67,640,CLI0405,Bassar,Centrale,Marché local,Virement,Retardée,42880
TXN000207,2023-01-18 04:00:00,Maïs,17,1667,CLI0496,Kpalimé,Plateaux,Export,Crédit,Livrée,28339
TXN000208,2023-01-18 06:00:00,Riz,73,2019,CLI0186,Niamtougou,Kara,Grossiste,Chèque,Livrée,147387
TXN000209,2023-01-18 08:00:00,Igname,93,611,CLI0038,Atakpamé,Plateaux,Marché local,Mobile Money,Livrée,56823
TXN000210,2023-01-18 10:00:00,Haricot,65,1013,CLI0488,Niamtougou,Kara,Vente directe,Espèces,En cours,65845
TXN000211,2023-01-18 12:00:00,Maïs,82,445,CLI0395_DUP,Niamtougou,Kara,Marché local,Espèces,Annulée,36490
TXN000212,2023-01-18 14:00:00,Soja,53,782,CLI0489,Kpalimé,Plateaux,Marché local,Chèque,Livrée,41446
TXN000213,2023-01-18 16:00:00,Haricot,84,1930,CLI0057,Tône,Savanes,Coopérative,Virement,En cours,162120
TXN000214,2023-01-18 18:00:00,Sorgho,57,1181,CLI0195_DUP,Bassar,Centrale,Marché local,Crédit,En cours,67317
TXN000215,2023-01-18 20:00:00,Sorgho,98,2174,CLI0248,Tône,Savanes,Grossiste,Chèque,Livrée,213052
TXN000216,2023-01-18 22:00:00,Sorgho,28,749,CLI0104,Aného,Maritime,Export,Virement,Livrée,20972
TXN000217,2023-01-19 00:00:00,Arachide,99,2364,CLI0060,Lomé,Maritime,Export,Virement,Livrée,234036
TXN000218,2023-01-19 02:00:00,Sorgho,16,1587,CLI0238,Dapaong,Savanes,Vente directe,Mobile Money,Livrée,25392
TXN000219,2023-01-19 04:00:00,Manioc,21,2137,CLI0371,Niamtougou,Kara,Coopérative,Crédit,Livrée,44877
